player,upload_date,video_id,url,avg_angry,avg_disgust,avg_fear,avg_happy,avg_sad,avg_surprise,avg_neutral,dominant_emotion,frames_analyzed,historical_gmsc_avg,next_game_gmsc
Kevin Durant,2022-03-11 000000,eIFn2_Dabz0,https://www.youtube.com/watch?v=eIFn2_Dabz0,5.207,0.9398,51.1414,0.2044,14.8504,15.2126,12.4444,fear,50,22.82,38.6
Kevin Durant,2022-03-09 000000,jgdvcxzLTwU,https://www.youtube.com/watch?v=jgdvcxzLTwU,3.4157,0.0006,3.237,72.1432,7.5163,0.9274,12.7597,happy,50,22.82,22.7
Kevin Durant,2022-03-04 000000,q62lDKjhC1M,https://www.youtube.com/watch?v=q62lDKjhC1M,22.3876,0.1962,14.0447,17.9907,36.1157,1.6584,7.6067,sad,50,23.09,29.1
Kevin Durant,2022-01-13 000000,k_ib9q9YBtA,https://www.youtube.com/watch?v=k_ib9q9YBtA,17.5368,0.1392,68.3027,0.0865,3.7845,5.482,4.6682,fear,50,23.53,10.6
Kevin Durant,2022-01-11 000000,#NAME?,https://www.youtube.com/watch?v=-lQ-D8Xc3lA,11.864,0.1792,38.2278,8.1838,20.1756,4.6585,16.7111,fear,50,23.35,29.5
Kevin Durant,2022-01-06 000000,vRN_Ct58LSA,https://www.youtube.com/watch?v=vRN_Ct58LSA,8.3487,0.0172,35.2679,2.0215,27.3001,6.7499,20.2947,sad,50,23.2,26.2
Kevin Durant,2022-01-02 000000,LvRmpI798-8,https://www.youtube.com/watch?v=LvRmpI798-8,18.2974,0.0017,23.0499,0.0008,51.4054,0.0004,7.2444,sad,50,22.99,19.8
Kevin Durant,2021-12-31 000000,AMoKtpFPVTM,https://www.youtube.com/watch?v=AMoKtpFPVTM,15.0033,0.0013,23.6388,0.0037,50.4058,0.0714,10.8756,sad,50,23.2,17.3
Kevin Durant,2021-12-17 000000,EC0mRVMsiVk,https://www.youtube.com/watch?v=EC0mRVMsiVk,36.9259,0.2202,22.2685,1.2695,32.35,2.0583,4.9075,angry,50,23.27,21.1
Kevin Durant,2021-12-15 000000,rqOdUO-WKQc,https://www.youtube.com/watch?v=rqOdUO-WKQc,4.5561,0.0104,36.5736,0.0812,56.2552,0.3926,2.131,sad,50,23.09,28.0
Kevin Durant,2021-12-13 000000,jkTF_kaq5Z0,https://www.youtube.com/watch?v=jkTF_kaq5Z0,3.8884,0.0051,30.5868,2.1503,15.3809,6.177,41.8114,neutral,50,22.94,26.8
Kevin Durant,2021-12-11 000000,MepdwtKHjLU,https://www.youtube.com/watch?v=MepdwtKHjLU,5.6447,0.0115,6.5003,0.6903,14.4315,0.1084,72.6134,neutral,50,22.27,39.1
Kevin Durant,2021-12-08 000000,T23UZd0JrdA,https://www.youtube.com/watch?v=T23UZd0JrdA,8.5064,0.0088,26.2192,4.4308,28.9961,4.4515,27.3871,sad,50,22.27,22.2
Kevin Durant,2021-12-05 000000,D6S7bpwQXrE,https://www.youtube.com/watch?v=D6S7bpwQXrE,17.4473,0.2918,48.0367,0.0204,28.3728,1.154,4.677,fear,50,22.56,15.9
Kevin Durant,2021-12-04 000000,D-TORMYdVsQ,https://www.youtube.com/watch?v=D-TORMYdVsQ,11.6968,0.3797,13.104,0.8134,41.1726,2.9029,29.9307,sad,50,22.74,18.8
Kevin Durant,2021-12-01 000000,owG-zYQA7HU,https://www.youtube.com/watch?v=owG-zYQA7HU,13.1859,0.2962,27.7324,3.7729,35.783,0.3509,18.8785,sad,50,22.8,21.6
Kevin Durant,2021-11-28 000000,yY5UojtX7WE,https://www.youtube.com/watch?v=yY5UojtX7WE,8.3738,0.1776,18.7255,13.9406,34.6111,3.693,20.4784,sad,50,22.91,20.8
Kevin Durant,2021-11-25 000000,OttvHhS6lIo,https://www.youtube.com/watch?v=OttvHhS6lIo,25.9428,0.1202,5.4084,1.633,56.8548,2.2517,7.7891,sad,50,22.51,30.1
Kevin Durant,2021-11-23 000000,u1cqjQS-CrQ,https://www.youtube.com/watch?v=u1cqjQS-CrQ,17.7243,0.0062,21.5569,1.7402,30.5076,1.7518,26.713,sad,50,22.77,18.0
Kevin Durant,2021-11-17 000000,NFZBlgoS-dk,https://www.youtube.com/watch?v=NFZBlgoS-dk,5.5519,0.0037,20.4109,0.508,24.635,1.2946,47.5959,neutral,50,23.03,17.7
Kevin Durant,2021-11-15 000000,zm-xxPWkS0w,https://www.youtube.com/watch?v=zm-xxPWkS0w,10.1998,0.2767,11.1168,0.0782,64.7731,0.2218,13.3335,sad,50,24.01,9.3
Kevin Durant,2021-11-13 000000,CvqxKMUyyCY,https://www.youtube.com/watch?v=CvqxKMUyyCY,6.6025,0.0172,33.4243,2.7985,24.7681,3.7239,28.6656,fear,50,23.62,29.1
Kevin Durant,2021-11-11 000000,n4MhI5ztOwc,https://www.youtube.com/watch?v=n4MhI5ztOwc,32.3276,0.0396,16.7144,6.8606,16.7228,2.9614,24.3737,angry,50,23.44,25.8
Kevin Durant,2021-11-09 000000,c0oO6T45MGQ,https://www.youtube.com/watch?v=c0oO6T45MGQ,16.2218,0.0004,20.8841,0.0219,30.5092,0.0173,32.3452,neutral,50,23.56,22.1
Kevin Durant,2021-11-06 000000,GKv2JKKANr0,https://www.youtube.com/watch?v=GKv2JKKANr0,4.2345,0.0011,23.0752,50.2639,11.0897,4.0012,7.3345,happy,50,22.89,22.7
Kevin Durant,2021-11-04 000000,dcNUhPTbnww,https://www.youtube.com/watch?v=dcNUhPTbnww,11.9479,0.0962,30.0481,0.1112,32.2005,7.5291,18.0671,sad,50,23.41,18.7
Kevin Durant,2021-10-30 000000,NAAHOr67diM,https://www.youtube.com/watch?v=NAAHOr67diM,15.3429,0.0183,27.2942,3.4441,25.3066,3.4829,25.1111,fear,50,23.93,17.8
Kevin Durant,2021-10-28 000000,X7XsMm5gw5o,https://www.youtube.com/watch?v=X7XsMm5gw5o,12.6108,0.1822,19.0015,1.7498,41.3862,0.0644,25.0052,sad,50,24.96,18.8
Kevin Durant,2021-10-26 000000,r9jJYmgHULs,https://www.youtube.com/watch?v=r9jJYmgHULs,15.5719,0.0254,7.3151,3.1766,19.1357,2.5865,52.1888,neutral,50,26.88,17.3
Kevin Durant,2021-10-23 000000,P-ZnnLalkdY,https://www.youtube.com/watch?v=P-ZnnLalkdY,22.4212,0.1362,7.5244,1.6762,25.2345,2.5078,40.4998,neutral,50,28.1,30.0
